label	keys	sources	T	arm	partner	missed	str_int_results_differ	int_cut_results_differ	ms_median	ms_min	ms_max	index_build_ms_median
errors-ERROR	4990	500	50	shipped	499	1	0	0	12.823	12.002	12.939	595.8
errors-ERROR	4990	500	50	hybrid_str_b64_1	499	0	0	0	0.359	0.356	0.366	595.8
errors-ERROR	4990	500	50	hybrid_int_b64_1	499	0	0	0	0.358	0.357	0.362	245.0
errors-ERROR	4990	500	50	cut_int_b64_1	499	0	0	0	0.365	0.358	0.370	245.0
errors-ERROR	4990	500	50	cut_int_b0_1	499	0	0	0	0.379	0.369	0.381	245.0
errors-ERROR	4990	500	50	cut_int_f50_b0_1	499	0	0	0	0.382	0.375	0.383	245.0
errors-ERROR	4990	500	50	cut_int_f25_b0_1	499	0	0	0	0.373	0.367	0.380	245.0
errors-ERROR	4990	500	60	shipped	499	1	0	0	12.280	11.554	12.873	595.8
errors-ERROR	4990	500	60	hybrid_str_b64_1	499	0	0	0	0.353	0.346	0.361	595.8
errors-ERROR	4990	500	60	hybrid_int_b64_1	499	0	0	0	0.358	0.346	0.363	245.0
errors-ERROR	4990	500	60	cut_int_b64_1	499	0	0	0	0.357	0.354	0.361	245.0
errors-ERROR	4990	500	60	cut_int_b0_1	499	0	0	0	0.379	0.375	0.392	245.0
errors-ERROR	4990	500	60	cut_int_f50_b0_1	499	0	0	0	0.387	0.374	0.390	245.0
errors-ERROR	4990	500	60	cut_int_f25_b0_1	499	0	0	0	0.369	0.363	0.385	245.0
errors-ERROR	4990	500	70	shipped	498	0	0	0	12.083	11.945	12.852	595.8
errors-ERROR	4990	500	70	hybrid_str_b64_1	498	0	0	0	0.361	0.359	0.363	595.8
errors-ERROR	4990	500	70	hybrid_int_b64_1	498	0	0	0	0.359	0.354	0.363	245.0
errors-ERROR	4990	500	70	cut_int_b64_1	498	0	0	0	0.359	0.355	0.366	245.0
errors-ERROR	4990	500	70	cut_int_b0_1	498	0	0	0	0.376	0.375	0.377	245.0
errors-ERROR	4990	500	70	cut_int_f50_b0_1	498	0	0	0	0.370	0.369	0.373	245.0
errors-ERROR	4990	500	70	cut_int_f25_b0_1	498	0	0	0	0.374	0.367	0.375	245.0
errors-ERROR	4990	500	75	shipped	498	0	0	0	12.162	11.823	12.631	595.8
errors-ERROR	4990	500	75	hybrid_str_b64_1	498	0	0	0	0.358	0.354	0.359	595.8
errors-ERROR	4990	500	75	hybrid_int_b64_1	498	0	0	0	0.353	0.352	0.362	245.0
errors-ERROR	4990	500	75	cut_int_b64_1	498	0	0	0	0.356	0.355	0.361	245.0
errors-ERROR	4990	500	75	cut_int_b0_1	498	0	0	0	0.371	0.368	0.378	245.0
errors-ERROR	4990	500	75	cut_int_f50_b0_1	498	0	0	0	0.370	0.366	0.374	245.0
errors-ERROR	4990	500	75	cut_int_f25_b0_1	498	0	0	0	0.369	0.366	0.374	245.0
errors-ERROR	4990	500	80	shipped	496	0	0	0	12.380	11.875	12.570	595.8
errors-ERROR	4990	500	80	hybrid_str_b64_1	496	0	0	0	0.362	0.356	0.369	595.8
errors-ERROR	4990	500	80	hybrid_int_b64_1	496	0	0	0	0.354	0.352	0.367	245.0
errors-ERROR	4990	500	80	cut_int_b64_1	496	0	0	0	0.364	0.349	0.365	245.0
errors-ERROR	4990	500	80	cut_int_b0_1	496	0	0	0	0.365	0.361	0.372	245.0
errors-ERROR	4990	500	80	cut_int_f50_b0_1	496	0	0	0	0.368	0.364	0.376	245.0
errors-ERROR	4990	500	80	cut_int_f25_b0_1	496	0	0	0	0.381	0.366	0.394	245.0
errors-ERROR	4990	500	85	shipped	496	0	0	0	12.091	11.982	12.727	595.8
errors-ERROR	4990	500	85	hybrid_str_b64_1	496	0	0	0	0.361	0.358	0.369	595.8
errors-ERROR	4990	500	85	hybrid_int_b64_1	496	0	0	0	0.359	0.359	0.361	245.0
errors-ERROR	4990	500	85	cut_int_b64_1	496	0	0	0	0.365	0.362	0.366	245.0
errors-ERROR	4990	500	85	cut_int_b0_1	496	0	0	0	0.376	0.376	0.378	245.0
errors-ERROR	4990	500	85	cut_int_f50_b0_1	496	0	0	0	0.375	0.374	0.378	245.0
errors-ERROR	4990	500	85	cut_int_f25_b0_1	496	0	0	0	0.373	0.370	0.379	245.0
errors-ERROR	4990	500	90	shipped	496	0	0	0	12.571	12.066	12.617	595.8
errors-ERROR	4990	500	90	hybrid_str_b64_1	496	0	0	0	0.364	0.350	0.366	595.8
errors-ERROR	4990	500	90	hybrid_int_b64_1	496	0	0	0	0.361	0.359	0.363	245.0
errors-ERROR	4990	500	90	cut_int_b64_1	496	0	0	0	0.359	0.357	0.363	245.0
errors-ERROR	4990	500	90	cut_int_b0_1	496	0	0	0	0.380	0.379	0.381	245.0
errors-ERROR	4990	500	90	cut_int_f50_b0_1	496	0	0	0	0.375	0.375	0.389	245.0
errors-ERROR	4990	500	90	cut_int_f25_b0_1	496	0	0	0	0.380	0.378	0.381	245.0
errors-ERROR	4990	500	95	shipped	496	0	0	0	13.012	12.607	13.521	595.8
errors-ERROR	4990	500	95	hybrid_str_b64_1	496	0	0	0	0.360	0.360	0.364	595.8
errors-ERROR	4990	500	95	hybrid_int_b64_1	496	0	0	0	0.363	0.361	0.384	245.0
errors-ERROR	4990	500	95	cut_int_b64_1	496	0	0	0	0.366	0.363	0.387	245.0
errors-ERROR	4990	500	95	cut_int_b0_1	496	0	0	0	0.379	0.369	0.393	245.0
errors-ERROR	4990	500	95	cut_int_f50_b0_1	496	0	0	0	0.379	0.379	0.381	245.0
errors-ERROR	4990	500	95	cut_int_f25_b0_1	496	0	0	0	0.378	0.370	0.379	245.0
