label	keys	sources	T	arm	partner	missed	str_int_results_differ	int_cut_results_differ	ms_median	ms_min	ms_max	index_build_ms_median
script-ERROR	209	209	50	shipped	208	1	0	0	0.517	0.511	0.540	8.5
script-ERROR	209	209	50	hybrid_str_b64_1	208	0	0	0	0.127	0.126	0.128	8.5
script-ERROR	209	209	50	hybrid_int_b64_1	208	0	0	0	0.121	0.121	0.124	4.1
script-ERROR	209	209	50	cut_int_b64_1	208	0	0	0	0.125	0.125	0.130	4.1
script-ERROR	209	209	50	cut_int_b0_1	208	0	0	0	0.286	0.284	0.299	4.1
script-ERROR	209	209	50	cut_int_f50_b0_1	208	0	0	0	0.212	0.211	0.218	4.1
script-ERROR	209	209	50	cut_int_f25_b0_1	208	0	0	0	0.172	0.171	0.173	4.1
script-ERROR	209	209	60	shipped	206	0	0	0	0.509	0.505	0.529	8.5
script-ERROR	209	209	60	hybrid_str_b64_1	206	0	0	0	0.159	0.157	0.184	8.5
script-ERROR	209	209	60	hybrid_int_b64_1	206	0	0	0	0.151	0.150	0.187	4.1
script-ERROR	209	209	60	cut_int_b64_1	206	0	0	0	0.154	0.153	0.166	4.1
script-ERROR	209	209	60	cut_int_b0_1	206	0	0	0	0.292	0.285	0.317	4.1
script-ERROR	209	209	60	cut_int_f50_b0_1	206	0	0	0	0.213	0.212	0.215	4.1
script-ERROR	209	209	60	cut_int_f25_b0_1	206	0	0	0	0.182	0.180	0.242	4.1
script-ERROR	209	209	70	shipped	204	0	0	0	0.517	0.498	0.601	8.5
script-ERROR	209	209	70	hybrid_str_b64_1	204	0	0	0	0.159	0.157	0.165	8.5
script-ERROR	209	209	70	hybrid_int_b64_1	204	0	0	0	0.157	0.151	0.167	4.1
script-ERROR	209	209	70	cut_int_b64_1	204	0	0	0	0.155	0.152	0.178	4.1
script-ERROR	209	209	70	cut_int_b0_1	204	0	0	0	0.275	0.272	0.288	4.1
script-ERROR	209	209	70	cut_int_f50_b0_1	204	0	0	0	0.209	0.207	0.236	4.1
script-ERROR	209	209	70	cut_int_f25_b0_1	204	0	0	0	0.176	0.171	0.179	4.1
script-ERROR	209	209	75	shipped	204	0	0	0	0.500	0.495	0.514	8.5
script-ERROR	209	209	75	hybrid_str_b64_1	204	0	0	0	0.150	0.150	0.160	8.5
script-ERROR	209	209	75	hybrid_int_b64_1	204	0	0	0	0.145	0.144	0.148	4.1
script-ERROR	209	209	75	cut_int_b64_1	204	0	0	0	0.147	0.145	0.154	4.1
script-ERROR	209	209	75	cut_int_b0_1	204	0	0	0	0.274	0.271	0.277	4.1
script-ERROR	209	209	75	cut_int_f50_b0_1	204	0	0	0	0.203	0.202	0.206	4.1
script-ERROR	209	209	75	cut_int_f25_b0_1	204	0	0	0	0.170	0.169	0.177	4.1
script-ERROR	209	209	80	shipped	201	0	0	0	0.497	0.496	0.507	8.5
script-ERROR	209	209	80	hybrid_str_b64_1	201	0	0	0	0.146	0.144	0.147	8.5
script-ERROR	209	209	80	hybrid_int_b64_1	201	0	0	0	0.139	0.137	0.139	4.1
script-ERROR	209	209	80	cut_int_b64_1	201	0	0	0	0.145	0.142	0.145	4.1
script-ERROR	209	209	80	cut_int_b0_1	201	0	0	0	0.241	0.240	0.246	4.1
script-ERROR	209	209	80	cut_int_f50_b0_1	201	0	0	0	0.189	0.187	0.195	4.1
script-ERROR	209	209	80	cut_int_f25_b0_1	201	0	0	0	0.169	0.169	0.170	4.1
script-ERROR	209	209	85	shipped	197	0	0	0	0.490	0.489	0.509	8.5
script-ERROR	209	209	85	hybrid_str_b64_1	197	0	0	0	0.144	0.142	0.150	8.5
script-ERROR	209	209	85	hybrid_int_b64_1	197	0	0	0	0.138	0.135	0.139	4.1
script-ERROR	209	209	85	cut_int_b64_1	197	0	0	0	0.141	0.138	0.147	4.1
script-ERROR	209	209	85	cut_int_b0_1	197	0	0	0	0.223	0.220	0.236	4.1
script-ERROR	209	209	85	cut_int_f50_b0_1	197	0	0	0	0.184	0.181	0.191	4.1
script-ERROR	209	209	85	cut_int_f25_b0_1	197	0	0	0	0.162	0.160	0.169	4.1
script-ERROR	209	209	90	shipped	191	0	0	0	0.489	0.474	0.494	8.5
script-ERROR	209	209	90	hybrid_str_b64_1	191	0	0	0	0.162	0.159	0.164	8.5
script-ERROR	209	209	90	hybrid_int_b64_1	191	0	0	0	0.158	0.154	0.159	4.1
script-ERROR	209	209	90	cut_int_b64_1	191	0	0	0	0.163	0.157	0.163	4.1
script-ERROR	209	209	90	cut_int_b0_1	191	0	0	0	0.207	0.193	0.207	4.1
script-ERROR	209	209	90	cut_int_f50_b0_1	191	0	0	0	0.178	0.169	0.181	4.1
script-ERROR	209	209	90	cut_int_f25_b0_1	191	0	0	0	0.166	0.156	0.211	4.1
script-ERROR	209	209	95	shipped	157	0	0	0	0.451	0.440	0.464	8.5
script-ERROR	209	209	95	hybrid_str_b64_1	157	0	0	0	0.164	0.162	0.164	8.5
script-ERROR	209	209	95	hybrid_int_b64_1	157	0	0	0	0.157	0.155	0.163	4.1
script-ERROR	209	209	95	cut_int_b64_1	157	0	0	0	0.152	0.146	0.153	4.1
script-ERROR	209	209	95	cut_int_b0_1	157	0	0	0	0.149	0.147	0.152	4.1
script-ERROR	209	209	95	cut_int_f50_b0_1	157	0	0	0	0.136	0.134	0.143	4.1
script-ERROR	209	209	95	cut_int_f25_b0_1	157	0	0	0	0.131	0.130	0.132	4.1
