label	keys	sources	T	arm	partner	missed	str_int_results_differ	int_cut_results_differ	ms_median	ms_min	ms_max	index_build_ms_median
script-INFO	2851	500	50	shipped	500	1	120	0	20.840	20.522	20.961	88.6
script-INFO	2851	500	50	hybrid_str_b64_1	500	0	120	0	0.212	0.198	0.242	88.6
script-INFO	2851	500	50	hybrid_int_b64_1	500	0	120	0	0.198	0.190	0.199	46.3
script-INFO	2851	500	50	cut_int_b64_1	500	0	120	0	0.216	0.209	0.217	46.3
script-INFO	2851	500	50	cut_int_b0_1	500	0	120	0	3.189	3.039	3.359	46.3
script-INFO	2851	500	50	cut_int_f50_b0_1	500	0	120	0	0.959	0.907	1.044	46.3
script-INFO	2851	500	50	cut_int_f25_b0_1	500	0	120	0	0.354	0.346	0.383	46.3
script-INFO	2851	500	60	shipped	500	1	120	0	20.994	19.778	21.475	88.6
script-INFO	2851	500	60	hybrid_str_b64_1	500	0	120	0	0.203	0.198	0.207	88.6
script-INFO	2851	500	60	hybrid_int_b64_1	500	0	120	0	0.200	0.189	0.208	46.3
script-INFO	2851	500	60	cut_int_b64_1	500	0	120	0	0.211	0.202	0.215	46.3
script-INFO	2851	500	60	cut_int_b0_1	500	0	120	0	3.161	3.038	3.182	46.3
script-INFO	2851	500	60	cut_int_f50_b0_1	500	0	120	0	0.983	0.931	1.004	46.3
script-INFO	2851	500	60	cut_int_f25_b0_1	500	0	120	0	0.354	0.344	0.380	46.3
script-INFO	2851	500	70	shipped	500	1	116	0	19.716	19.065	19.773	88.6
script-INFO	2851	500	70	hybrid_str_b64_1	500	0	116	0	0.207	0.195	0.210	88.6
script-INFO	2851	500	70	hybrid_int_b64_1	500	0	116	0	0.206	0.186	0.206	46.3
script-INFO	2851	500	70	cut_int_b64_1	500	0	116	0	0.221	0.204	0.227	46.3
script-INFO	2851	500	70	cut_int_b0_1	500	0	116	0	2.381	2.251	2.450	46.3
script-INFO	2851	500	70	cut_int_f50_b0_1	500	0	116	0	0.801	0.797	0.815	46.3
script-INFO	2851	500	70	cut_int_f25_b0_1	500	0	116	0	0.338	0.330	0.348	46.3
script-INFO	2851	500	75	shipped	500	1	104	0	19.338	18.990	19.348	88.6
script-INFO	2851	500	75	hybrid_str_b64_1	500	0	104	0	0.209	0.201	0.214	88.6
script-INFO	2851	500	75	hybrid_int_b64_1	500	0	104	0	0.193	0.190	0.204	46.3
script-INFO	2851	500	75	cut_int_b64_1	500	0	104	0	0.203	0.199	0.211	46.3
script-INFO	2851	500	75	cut_int_b0_1	500	0	104	0	1.605	1.552	1.727	46.3
script-INFO	2851	500	75	cut_int_f50_b0_1	500	0	104	0	0.684	0.674	0.705	46.3
script-INFO	2851	500	75	cut_int_f25_b0_1	500	0	104	0	0.325	0.318	0.340	46.3
script-INFO	2851	500	80	shipped	500	1	104	0	18.804	18.363	19.186	88.6
script-INFO	2851	500	80	hybrid_str_b64_1	500	0	104	0	0.203	0.194	0.237	88.6
script-INFO	2851	500	80	hybrid_int_b64_1	500	0	104	0	0.187	0.181	0.200	46.3
script-INFO	2851	500	80	cut_int_b64_1	500	0	104	0	0.201	0.195	0.209	46.3
script-INFO	2851	500	80	cut_int_b0_1	500	0	104	0	1.841	1.839	1.933	46.3
script-INFO	2851	500	80	cut_int_f50_b0_1	500	0	104	0	0.907	0.869	0.965	46.3
script-INFO	2851	500	80	cut_int_f25_b0_1	500	0	104	0	0.341	0.340	0.360	46.3
script-INFO	2851	500	85	shipped	500	6	98	0	18.305	17.236	18.469	88.6
script-INFO	2851	500	85	hybrid_str_b64_1	500	2	98	0	0.214	0.209	0.226	88.6
script-INFO	2851	500	85	hybrid_int_b64_1	500	2	98	0	0.198	0.194	0.198	46.3
script-INFO	2851	500	85	cut_int_b64_1	500	2	98	0	0.209	0.206	0.220	46.3
script-INFO	2851	500	85	cut_int_b0_1	500	2	98	0	2.172	2.083	2.252	46.3
script-INFO	2851	500	85	cut_int_f50_b0_1	500	2	98	0	1.020	0.994	1.045	46.3
script-INFO	2851	500	85	cut_int_f25_b0_1	500	2	98	0	0.281	0.275	0.301	46.3
script-INFO	2851	500	90	shipped	495	6	47	0	14.615	14.335	14.809	88.6
script-INFO	2851	500	90	hybrid_str_b64_1	495	7	47	0	0.261	0.259	0.280	88.6
script-INFO	2851	500	90	hybrid_int_b64_1	495	7	47	0	0.237	0.234	0.237	46.3
script-INFO	2851	500	90	cut_int_b64_1	495	7	47	0	0.231	0.224	0.233	46.3
script-INFO	2851	500	90	cut_int_b0_1	495	7	47	0	0.780	0.771	0.798	46.3
script-INFO	2851	500	90	cut_int_f50_b0_1	495	7	47	0	0.339	0.338	0.346	46.3
script-INFO	2851	500	90	cut_int_f25_b0_1	495	7	47	0	0.227	0.223	0.235	46.3
script-INFO	2851	500	95	shipped	239	5	45	0	13.807	13.360	14.147	88.6
script-INFO	2851	500	95	hybrid_str_b64_1	239	6	45	0	0.582	0.576	0.597	88.6
script-INFO	2851	500	95	hybrid_int_b64_1	239	6	45	0	0.510	0.498	0.526	46.3
script-INFO	2851	500	95	cut_int_b64_1	239	6	45	0	0.533	0.496	0.541	46.3
script-INFO	2851	500	95	cut_int_b0_1	239	6	45	0	0.444	0.431	0.454	46.3
script-INFO	2851	500	95	cut_int_f50_b0_1	239	6	45	0	0.449	0.437	0.464	46.3
script-INFO	2851	500	95	cut_int_f25_b0_1	239	6	45	0	0.590	0.561	0.601	46.3
