label	keys	sources	T	arm	partner	missed	str_int_results_differ	int_cut_results_differ	ms_median	ms_min	ms_max	index_build_ms_median
script-WARN	1940	500	50	shipped	500	0	71	0	13.057	12.932	14.708	85.8
script-WARN	1940	500	50	hybrid_str_b64_1	500	0	71	0	0.433	0.428	0.451	85.8
script-WARN	1940	500	50	hybrid_int_b64_1	500	0	71	0	0.440	0.433	0.539	37.5
script-WARN	1940	500	50	cut_int_b64_1	500	0	71	0	0.471	0.436	0.506	37.5
script-WARN	1940	500	50	cut_int_b0_1	500	0	71	0	2.322	2.300	2.582	37.5
script-WARN	1940	500	50	cut_int_f50_b0_1	500	0	71	0	1.268	1.236	1.301	37.5
script-WARN	1940	500	50	cut_int_f25_b0_1	500	0	71	0	0.632	0.620	0.639	37.5
script-WARN	1940	500	60	shipped	500	0	71	0	13.516	12.798	13.949	85.8
script-WARN	1940	500	60	hybrid_str_b64_1	500	0	71	0	0.439	0.436	0.466	85.8
script-WARN	1940	500	60	hybrid_int_b64_1	500	0	71	0	0.445	0.421	0.450	37.5
script-WARN	1940	500	60	cut_int_b64_1	500	0	71	0	0.451	0.431	0.477	37.5
script-WARN	1940	500	60	cut_int_b0_1	500	0	71	0	2.410	2.354	2.481	37.5
script-WARN	1940	500	60	cut_int_f50_b0_1	500	0	71	0	1.269	1.254	1.365	37.5
script-WARN	1940	500	60	cut_int_f25_b0_1	500	0	71	0	0.661	0.650	0.669	37.5
script-WARN	1940	500	70	shipped	500	0	71	0	13.366	12.674	14.253	85.8
script-WARN	1940	500	70	hybrid_str_b64_1	500	0	71	0	0.441	0.434	0.467	85.8
script-WARN	1940	500	70	hybrid_int_b64_1	500	0	71	0	0.440	0.425	0.459	37.5
script-WARN	1940	500	70	cut_int_b64_1	500	0	71	0	0.454	0.451	0.488	37.5
script-WARN	1940	500	70	cut_int_b0_1	500	0	71	0	2.449	2.343	2.576	37.5
script-WARN	1940	500	70	cut_int_f50_b0_1	500	0	71	0	1.248	1.238	1.337	37.5
script-WARN	1940	500	70	cut_int_f25_b0_1	500	0	71	0	0.581	0.544	0.743	37.5
script-WARN	1940	500	75	shipped	500	0	71	0	13.149	12.582	13.854	85.8
script-WARN	1940	500	75	hybrid_str_b64_1	500	0	71	0	0.447	0.435	0.500	85.8
script-WARN	1940	500	75	hybrid_int_b64_1	500	0	71	0	0.439	0.426	0.447	37.5
script-WARN	1940	500	75	cut_int_b64_1	500	0	71	0	0.454	0.429	0.488	37.5
script-WARN	1940	500	75	cut_int_b0_1	500	0	71	0	2.071	2.029	2.126	37.5
script-WARN	1940	500	75	cut_int_f50_b0_1	500	0	71	0	1.148	1.146	1.180	37.5
script-WARN	1940	500	75	cut_int_f25_b0_1	500	0	71	0	0.538	0.520	0.541	37.5
script-WARN	1940	500	80	shipped	500	0	66	0	13.352	12.522	13.433	85.8
script-WARN	1940	500	80	hybrid_str_b64_1	500	0	66	0	0.521	0.448	0.534	85.8
script-WARN	1940	500	80	hybrid_int_b64_1	500	0	66	0	0.451	0.424	0.570	37.5
script-WARN	1940	500	80	cut_int_b64_1	500	0	66	0	0.483	0.433	0.529	37.5
script-WARN	1940	500	80	cut_int_b0_1	500	0	66	0	1.871	1.843	1.875	37.5
script-WARN	1940	500	80	cut_int_f50_b0_1	500	0	66	0	1.029	1.006	1.051	37.5
script-WARN	1940	500	80	cut_int_f25_b0_1	500	0	66	0	0.556	0.556	0.577	37.5
script-WARN	1940	500	85	shipped	500	0	64	0	12.744	12.541	13.701	85.8
script-WARN	1940	500	85	hybrid_str_b64_1	500	0	64	0	0.461	0.434	0.473	85.8
script-WARN	1940	500	85	hybrid_int_b64_1	500	0	64	0	0.440	0.428	0.468	37.5
script-WARN	1940	500	85	cut_int_b64_1	500	0	64	0	0.441	0.436	0.467	37.5
script-WARN	1940	500	85	cut_int_b0_1	500	0	64	0	1.568	1.528	1.592	37.5
script-WARN	1940	500	85	cut_int_f50_b0_1	500	0	64	0	0.949	0.902	0.991	37.5
script-WARN	1940	500	85	cut_int_f25_b0_1	500	0	64	0	0.488	0.484	0.503	37.5
script-WARN	1940	500	90	shipped	498	0	85	0	12.967	12.373	13.508	85.8
script-WARN	1940	500	90	hybrid_str_b64_1	498	0	85	0	0.487	0.485	0.492	85.8
script-WARN	1940	500	90	hybrid_int_b64_1	498	0	85	0	0.520	0.443	0.581	37.5
script-WARN	1940	500	90	cut_int_b64_1	498	0	85	0	0.509	0.461	0.608	37.5
script-WARN	1940	500	90	cut_int_b0_1	498	0	85	0	1.312	1.150	1.340	37.5
script-WARN	1940	500	90	cut_int_f50_b0_1	498	0	85	0	0.843	0.794	0.896	37.5
script-WARN	1940	500	90	cut_int_f25_b0_1	498	0	85	0	0.455	0.429	0.572	37.5
script-WARN	1940	500	95	shipped	495	0	83	0	11.633	10.088	11.739	85.8
script-WARN	1940	500	95	hybrid_str_b64_1	495	0	83	0	0.462	0.437	0.600	85.8
script-WARN	1940	500	95	hybrid_int_b64_1	495	0	83	0	0.452	0.425	0.462	37.5
script-WARN	1940	500	95	cut_int_b64_1	495	0	83	0	0.455	0.430	0.488	37.5
script-WARN	1940	500	95	cut_int_b0_1	495	0	83	0	0.883	0.788	0.935	37.5
script-WARN	1940	500	95	cut_int_f50_b0_1	495	0	83	0	0.521	0.476	0.542	37.5
script-WARN	1940	500	95	cut_int_f25_b0_1	495	0	83	0	0.349	0.340	0.375	37.5
