label	keys	sources	T	arm	partner	missed	str_int_results_differ	int_cut_results_differ	ms_median	ms_min	ms_max	index_build_ms_median
tomcat-200	2870	500	50	shipped	500	0	2	0	5.354	5.179	5.404	52.7
tomcat-200	2870	500	50	hybrid_str_b64_1	500	0	2	0	0.062	0.059	0.064	52.7
tomcat-200	2870	500	50	hybrid_int_b64_1	500	0	2	0	0.058	0.057	0.060	28.9
tomcat-200	2870	500	50	cut_int_b64_1	500	0	2	0	0.064	0.061	0.065	28.9
tomcat-200	2870	500	50	cut_int_b0_1	500	0	2	0	0.211	0.209	0.216	28.9
tomcat-200	2870	500	50	cut_int_f50_b0_1	500	0	2	0	0.112	0.110	0.113	28.9
tomcat-200	2870	500	50	cut_int_f25_b0_1	500	0	2	0	0.079	0.076	0.082	28.9
tomcat-200	2870	500	60	shipped	499	0	3	0	5.203	5.011	5.266	52.7
tomcat-200	2870	500	60	hybrid_str_b64_1	499	0	3	0	0.074	0.070	0.075	52.7
tomcat-200	2870	500	60	hybrid_int_b64_1	499	0	3	0	0.067	0.064	0.069	28.9
tomcat-200	2870	500	60	cut_int_b64_1	499	0	3	0	0.074	0.072	0.075	28.9
tomcat-200	2870	500	60	cut_int_b0_1	499	0	3	0	0.209	0.207	0.217	28.9
tomcat-200	2870	500	60	cut_int_f50_b0_1	499	0	3	0	0.113	0.110	0.115	28.9
tomcat-200	2870	500	60	cut_int_f25_b0_1	499	0	3	0	0.085	0.081	0.088	28.9
tomcat-200	2870	500	70	shipped	482	0	5	0	5.104	5.066	5.207	52.7
tomcat-200	2870	500	70	hybrid_str_b64_1	482	0	5	0	0.109	0.106	0.118	52.7
tomcat-200	2870	500	70	hybrid_int_b64_1	482	0	5	0	0.097	0.096	0.116	28.9
tomcat-200	2870	500	70	cut_int_b64_1	482	0	5	0	0.107	0.104	0.118	28.9
tomcat-200	2870	500	70	cut_int_b0_1	482	0	5	0	0.217	0.215	0.226	28.9
tomcat-200	2870	500	70	cut_int_f50_b0_1	482	0	5	0	0.133	0.131	0.144	28.9
tomcat-200	2870	500	70	cut_int_f25_b0_1	482	0	5	0	0.107	0.107	0.116	28.9
tomcat-200	2870	500	75	shipped	451	0	7	0	4.903	4.850	5.041	52.7
tomcat-200	2870	500	75	hybrid_str_b64_1	451	0	7	0	0.133	0.131	0.135	52.7
tomcat-200	2870	500	75	hybrid_int_b64_1	451	0	7	0	0.125	0.122	0.127	28.9
tomcat-200	2870	500	75	cut_int_b64_1	451	0	7	0	0.137	0.133	0.138	28.9
tomcat-200	2870	500	75	cut_int_b0_1	451	0	7	0	0.200	0.196	0.201	28.9
tomcat-200	2870	500	75	cut_int_f50_b0_1	451	0	7	0	0.141	0.141	0.141	28.9
tomcat-200	2870	500	75	cut_int_f25_b0_1	451	0	7	0	0.120	0.119	0.125	28.9
tomcat-200	2870	500	80	shipped	403	0	4	0	4.512	4.458	4.617	52.7
tomcat-200	2870	500	80	hybrid_str_b64_1	403	0	4	0	0.163	0.153	0.165	52.7
tomcat-200	2870	500	80	hybrid_int_b64_1	403	0	4	0	0.156	0.150	0.160	28.9
tomcat-200	2870	500	80	cut_int_b64_1	403	0	4	0	0.162	0.160	0.168	28.9
tomcat-200	2870	500	80	cut_int_b0_1	403	0	4	0	0.177	0.172	0.181	28.9
tomcat-200	2870	500	80	cut_int_f50_b0_1	403	0	4	0	0.140	0.136	0.142	28.9
tomcat-200	2870	500	80	cut_int_f25_b0_1	403	0	4	0	0.134	0.130	0.135	28.9
tomcat-200	2870	500	85	shipped	330	0	1	0	3.894	3.855	3.934	52.7
tomcat-200	2870	500	85	hybrid_str_b64_1	330	0	1	0	0.175	0.170	0.176	52.7
tomcat-200	2870	500	85	hybrid_int_b64_1	330	0	1	0	0.163	0.162	0.167	28.9
tomcat-200	2870	500	85	cut_int_b64_1	330	0	1	0	0.169	0.166	0.169	28.9
tomcat-200	2870	500	85	cut_int_b0_1	330	0	1	0	0.144	0.142	0.154	28.9
tomcat-200	2870	500	85	cut_int_f50_b0_1	330	0	1	0	0.138	0.126	0.152	28.9
tomcat-200	2870	500	85	cut_int_f25_b0_1	330	0	1	0	0.132	0.126	0.141	28.9
tomcat-200	2870	500	90	shipped	203	0	0	0	3.426	3.366	3.440	52.7
tomcat-200	2870	500	90	hybrid_str_b64_1	203	0	0	0	0.170	0.164	0.173	52.7
tomcat-200	2870	500	90	hybrid_int_b64_1	203	0	0	0	0.162	0.155	0.171	28.9
tomcat-200	2870	500	90	cut_int_b64_1	203	0	0	0	0.176	0.164	0.177	28.9
tomcat-200	2870	500	90	cut_int_b0_1	203	0	0	0	0.107	0.102	0.112	28.9
tomcat-200	2870	500	90	cut_int_f50_b0_1	203	0	0	0	0.111	0.106	0.112	28.9
tomcat-200	2870	500	90	cut_int_f25_b0_1	203	0	0	0	0.114	0.106	0.116	28.9
tomcat-200	2870	500	95	shipped	36	0	0	0	2.952	2.923	3.011	52.7
tomcat-200	2870	500	95	hybrid_str_b64_1	36	0	0	0	0.091	0.085	0.093	52.7
tomcat-200	2870	500	95	hybrid_int_b64_1	36	0	0	0	0.082	0.081	0.085	28.9
tomcat-200	2870	500	95	cut_int_b64_1	36	0	0	0	0.087	0.085	0.089	28.9
tomcat-200	2870	500	95	cut_int_b0_1	36	0	0	0	0.068	0.064	0.070	28.9
tomcat-200	2870	500	95	cut_int_f50_b0_1	36	0	0	0	0.069	0.067	0.071	28.9
tomcat-200	2870	500	95	cut_int_f25_b0_1	36	0	0	0	0.072	0.068	0.077	28.9
